============================================================
FULL BACKFILL: 500 TICKERS × 5 YEARS
============================================================
Total:          503 tickers
Already loaded: 10 tickers
Remaining:      493 tickers
Est. time:      ~2 minutes
============================================================

[456/493] V... 1004 records
[457/493] VICI... 1004 records
[458/493] VLO... 1004 records
[459/493] VLTO... 343 records
[460/493] VMC... 1004 records
[461/493] VRSK... 1004 records
[462/493] VRSN... 1004 records
[463/493] VRTX... 1004 records
[464/493] VST... 1004 records
[465/493] VTR... 1004 records
[466/493] VTRS... 1004 records
[467/493] VZ... 1004 records
[468/493] WAB... 1004 records
[469/493] WAT... 1004 records
[470/493] WBA... 1004 records
[471/493] WBD... 713 records
[472/493] WDAY... 1004 records
[473/493] WDC... 1004 records
[474/493] WEC... 1004 records
[475/493] WELL... 1004 records

Saved 24,148 records | Elapsed: 2.8min | ETA: 0min

[476/493] WFC... 1004 records
[477/493] WM... 1004 records
[478/493] WMB... 1004 records
[479/493] WMT... 1004 records
[480/493] WRB... 1004 records
[481/493] WSM... 1004 records
[482/493] WST... 1004 records
[483/493] WTW... 776 records
[484/493] WY... 1004 records
[485/493] WYNN... 1004 records
[486/493] XEL... 1004 records
[487/493] XOM... 1004 records
[488/493] XYL... 1004 records
[489/493] XYZ... 17 records
[490/493] YUM... 1004 records
[491/493] ZBH... 1004 records
[492/493] ZBRA... 1004 records
[493/493] ZTS... 1004 records

Saved final batch: 16,857 records

============================================================
BACKFILL COMPLETE
============================================================
Total records:  482,053
Total tickers:  500
Time taken:     2.9 minutes
Failed:         0 tickers
